new_name,old_name,label
,Q64,"En los últimos dos meses, ¿has notado que tu padre o madre está más agradecido?"
,Q65,"En los últimos dos meses, ¿has notado que has sido más paciente?"
,Q66,"En los últimos dos meses, ¿has notado que has estado más tranquilo?"
,Q81,¿Puedes describir un momento en los últimos dos meses en el que hayas sentido calma con tu padre o madre?
,Q67,"En los últimos dos meses, ¿has notado que has estado más feliz?"
,Q68,"En los últimos dos meses, ¿has notado que has estado más agradecido?"
,Q82,¿Puedes describir un momento en los últimos dos meses en el que te hayas sentido agradecido por tu padre o madre?
,Q69,"Reflexionando sobre los últimos dos meses, ¿has notado alguna mejora en la relación con tu padre o madre?"
,Q83,¿Cómo ha mejorado tu relación con tu padre o madre?
,Q70,"Reflexionando sobre los últimos dos meses, ¿has notado alguna mejora en tu bienestar (te sientes bien)?"
,Q84,¿Cómo ha mejorado tu bienestar?
